epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8269.58,0.56528,0.93386,0.62666,0.98546,0.63235,0.06568,0.12714,0.10562,0.63235,0.06568,0.12714,0.10567,0.69116,1.39062,0.70207,1.11737,0.0006436,0.0006436,0.0006436
56,8452.64,0.57312,0.93725,0.54271,0.98284,0.89529,0.09684,0.16722,0.14632,0.89529,0.09684,0.16722,0.15114,0.6838,1.3142,0.7015,1.09946,0.000637,0.000637,0.000637
57,8671.33,0.52337,0.87896,0.53911,0.94794,0.53246,0.12142,0.19163,0.17208,0.53246,0.12142,0.19163,0.16938,0.64817,1.22181,0.74444,1.04969,0.0006304,0.0006304,0.0006304
58,8877.27,0.50389,0.90227,0.52915,0.94918,0.75254,0.15749,0.22562,0.20369,0.75254,0.15749,0.22562,0.20758,0.66625,1.26878,0.6792,1.07347,0.0006238,0.0006238,0.0006238
59,9091.89,0.51614,0.91353,0.53168,0.93527,0.96209,0.17902,0.23872,0.20691,0.96209,0.17902,0.23872,0.21551,0.63467,1.32282,0.66824,1.06196,0.0006172,0.0006172,0.0006172
60,9285.55,0.5326,0.81514,0.50486,0.97512,0.98283,0.15864,0.2218,0.19805,0.98283,0.15864,0.2218,0.20274,0.68554,1.29698,0.63986,1.08237,0.0006106,0.0006106,0.0006106
61,9491.88,0.54158,0.93703,0.51952,0.95389,0.9906,0.1662,0.24891,0.23253,0.9906,0.1662,0.24891,0.23644,0.67581,1.21625,0.63209,1.06841,0.000604,0.000604,0.000604
62,9708.71,0.53718,0.81971,0.54088,0.96555,0.99028,0.17376,0.2741,0.25465,0.99028,0.17376,0.2741,0.25724,0.63738,1.18599,0.64779,1.06367,0.0005974,0.0005974,0.0005974
63,9930.75,0.55615,0.86518,0.55685,0.97434,0.95015,0.11722,0.20823,0.18115,0.95015,0.11722,0.20823,0.18619,0.5829,1.23896,0.72924,1.04474,0.0005908,0.0005908,0.0005908
64,10193.3,0.52755,0.84169,0.54713,0.95094,0.76827,0.2382,0.29236,0.26292,0.76827,0.2382,0.29236,0.2699,0.58212,1.26977,0.62974,1.05003,0.0005842,0.0005842,0.0005842
65,10423.4,0.53709,0.86453,0.61508,0.95764,0.79415,0.26531,0.3098,0.28342,0.79415,0.26531,0.3098,0.2881,0.61006,1.33567,0.66672,1.06684,0.0005776,0.0005776,0.0005776
66,10629.7,0.53706,0.87656,0.5505,0.98197,0.98691,0.21517,0.27957,0.25454,0.98691,0.21517,0.27957,0.26323,0.63798,1.2915,0.67779,1.05708,0.000571,0.000571,0.000571
67,10859.2,0.52347,0.80837,0.51838,0.93932,0.94566,0.17376,0.22095,0.1976,0.94566,0.17376,0.22095,0.20584,0.61851,1.20009,0.61934,1.07121,0.0005644,0.0005644,0.0005644
68,11077.1,0.51915,0.75696,0.5054,0.94455,0.976,0.22799,0.26126,0.24329,0.976,0.22799,0.26126,0.24911,0.66993,1.62668,0.61643,1.11374,0.0005578,0.0005578,0.0005578
69,11302.4,0.50881,0.80104,0.52184,0.94333,0.97935,0.20992,0.23575,0.21535,0.97935,0.20992,0.23575,0.2261,0.65626,1.96443,0.62374,1.09647,0.0005512,0.0005512,0.0005512
70,11536.3,0.52801,0.85259,0.51723,0.94719,0.5981,0.15508,0.19806,0.1685,0.5981,0.15508,0.19806,0.18446,0.69556,1.17496,0.65227,1.12611,0.0005446,0.0005446,0.0005446
71,11760,0.50791,0.83102,0.48451,0.942,0.98295,0.17376,0.24958,0.21897,0.98295,0.17376,0.24958,0.22488,0.67702,1.28299,0.65823,1.13645,0.000538,0.000538,0.000538
72,11972.3,0.48098,0.73675,0.48665,0.94039,0.56024,0.07835,0.19263,0.16867,0.56024,0.07835,0.19263,0.17554,0.64156,1.29115,0.61078,1.07912,0.0005314,0.0005314,0.0005314
73,12181.3,0.50834,0.79219,0.50323,0.94648,0.86545,0.1553,0.24755,0.21347,0.86545,0.1553,0.24755,0.22511,0.63031,1.28135,0.66306,1.0711,0.0005248,0.0005248,0.0005248
74,12373.7,0.51053,0.86682,0.49193,0.95989,0.67765,0.21406,0.30135,0.2747,0.94026,0.20295,0.29079,0.27319,0.609,1.22139,0.64313,1.07653,0.0005182,0.0005182,0.0005182
75,12596.2,0.52558,0.85626,0.52132,0.96278,0.94367,0.21326,0.28446,0.25584,0.94367,0.21326,0.28446,0.2585,0.62938,1.25774,0.61977,1.08563,0.0005116,0.0005116,0.0005116
76,12816.7,0.5029,0.78948,0.49467,0.93583,0.94686,0.22066,0.3058,0.2857,0.94686,0.22066,0.3058,0.28559,0.59701,1.22213,0.58876,1.07475,0.000505,0.000505,0.000505
77,13024.8,0.47426,0.76032,0.49719,0.94442,0.86096,0.1837,0.24518,0.21582,0.86096,0.1837,0.24518,0.22239,0.58809,1.21127,0.58967,1.05565,0.0004984,0.0004984,0.0004984
78,13221.2,0.48032,0.77916,0.47556,0.94666,0.93382,0.20992,0.27893,0.25095,0.93382,0.20992,0.27893,0.24931,0.57196,1.21585,0.56442,1.02208,0.0004918,0.0004918,0.0004918
79,13452.4,0.49084,0.78422,0.47746,0.94371,0.78136,0.2648,0.31901,0.29045,0.78136,0.2648,0.31901,0.29091,0.56326,1.19401,0.59005,1.01396,0.0004852,0.0004852,0.0004852
80,13675.1,0.4817,0.77599,0.47175,0.93324,0.98203,0.22799,0.2874,0.25923,0.98203,0.22799,0.2874,0.26467,0.61496,1.13983,0.60795,1.04664,0.0004786,0.0004786,0.0004786
81,13882.9,0.47182,0.85104,0.47586,0.95072,0.77971,0.21391,0.2577,0.24024,0.77971,0.21391,0.2577,0.24106,0.61013,1.1212,0.58644,1.05717,0.000472,0.000472,0.000472
82,14078.6,0.49422,0.80885,0.47611,0.94053,0.81699,0.25718,0.30329,0.28486,0.81699,0.25718,0.30329,0.28378,0.59344,1.09602,0.59178,1.05072,0.0004654,0.0004654,0.0004654
83,14326.3,0.48034,0.72338,0.45519,0.94261,0.96834,0.38421,0.42268,0.36277,0.95027,0.37809,0.40883,0.36002,0.62184,1.16879,0.65499,1.05318,0.0004588,0.0004588,0.0004588
84,14535.2,0.48322,0.84908,0.47831,0.95016,0.96295,0.31635,0.35268,0.32299,0.96295,0.31635,0.34564,0.3197,0.62317,1.18378,0.61488,1.05778,0.0004522,0.0004522,0.0004522
85,14765.2,0.49609,0.78595,0.46362,0.94259,0.94268,0.47645,0.51013,0.43897,0.94268,0.47645,0.51013,0.42743,0.62118,1.12206,0.63143,1.05511,0.0004456,0.0004456,0.0004456
86,15007.6,0.50916,0.74976,0.47454,0.95878,0.92186,0.27438,0.31981,0.28948,0.92186,0.27438,0.31981,0.29291,0.64804,1.16804,0.61836,1.06654,0.000439,0.000439,0.000439
87,15247.4,0.48946,0.70221,0.46688,0.94747,0.91522,0.43752,0.50264,0.44818,0.91522,0.43752,0.48476,0.41217,0.66777,1.1449,0.63642,1.07008,0.0004324,0.0004324,0.0004324
88,15457.9,0.47752,0.76969,0.45071,0.94509,0.92925,0.43752,0.48185,0.43557,0.94066,0.44369,0.48656,0.41542,0.61615,1.13854,0.60516,1.0232,0.0004258,0.0004258,0.0004258
89,15673.7,0.50504,0.83061,0.49046,0.96536,0.96574,0.43352,0.48116,0.41586,0.95353,0.42737,0.47126,0.41316,0.61935,1.14334,0.59483,1.02231,0.0004192,0.0004192,0.0004192
90,15934.9,0.45803,0.77233,0.45468,0.9353,0.97196,0.25718,0.34879,0.32599,0.97196,0.25718,0.34879,0.32499,0.59184,1.13967,0.61357,1.01198,0.0004126,0.0004126,0.0004126
91,16174.6,0.50122,0.80421,0.46625,0.94299,0.87417,0.4536,0.50371,0.43842,0.85816,0.44748,0.49513,0.42343,0.58046,1.18681,0.61694,0.99913,0.000406,0.000406,0.000406
92,16413.3,0.44257,0.75283,0.41124,0.9372,0.926,0.39213,0.43622,0.39178,0.92714,0.38531,0.43348,0.36302,0.58152,1.18721,0.59717,0.99628,0.0003994,0.0003994,0.0003994
93,16621,0.44259,0.7082,0.43715,0.92649,0.76395,0.33429,0.37524,0.341,0.93554,0.32297,0.37222,0.33117,0.5759,1.16238,0.62501,1.01401,0.0003928,0.0003928,0.0003928
94,16817.9,0.47,0.73072,0.46367,0.94656,0.8049,0.31062,0.34916,0.31791,0.8049,0.31062,0.34916,0.3242,0.60584,1.1885,0.64239,1.03325,0.0003862,0.0003862,0.0003862
95,17094.6,0.46627,0.70981,0.44233,0.90922,0.96565,0.28143,0.32042,0.29657,0.96565,0.28143,0.32042,0.29809,0.58646,1.18836,0.5698,1.03887,0.0003796,0.0003796,0.0003796
96,17311.6,0.46785,0.75813,0.45834,0.95175,0.78945,0.31632,0.36295,0.33728,0.78945,0.31632,0.36295,0.32657,0.60876,1.17358,0.57818,1.04525,0.000373,0.000373,0.000373
97,17559.7,0.46791,0.73744,0.4678,0.95123,0.91854,0.48538,0.53492,0.47338,0.90939,0.47921,0.53627,0.45142,0.59515,1.1188,0.60428,1.0363,0.0003664,0.0003664,0.0003664
98,17811.7,0.47096,0.79316,0.44588,0.91642,0.95178,0.56843,0.63069,0.54107,0.94305,0.56226,0.61813,0.50114,0.56473,1.0874,0.62576,1.02142,0.0003598,0.0003598,0.0003598
99,18053.8,0.48439,0.73,0.48091,0.93228,0.93193,0.26332,0.32431,0.2893,0.93193,0.26332,0.32431,0.28755,0.56459,1.0712,0.56341,1.02561,0.0003532,0.0003532,0.0003532
100,18340.2,0.43487,0.7043,0.42794,0.9434,0.98496,0.21406,0.27772,0.25395,0.98496,0.21406,0.27772,0.25898,0.59892,1.09665,0.54784,1.02902,0.0003466,0.0003466,0.0003466
101,18620.4,0.46069,0.69073,0.44186,0.92121,0.76348,0.4632,0.52348,0.45842,0.7541,0.45702,0.51975,0.42619,0.60674,1.08518,0.58765,1.0293,0.00034,0.00034,0.00034
102,18873.5,0.44336,0.69605,0.4599,0.93116,0.96774,0.3168,0.37425,0.34878,0.96774,0.3168,0.37425,0.33717,0.54215,1.0404,0.57768,0.99491,0.0003334,0.0003334,0.0003334
